Value,Index
-0.12,0
-0.09,1
-0.1,2
-0.18,3
-0.27,4
-0.25,5
-0.25,6
-0.29,7
-0.14,8
-0.1,9
-0.35,10
-0.26,11
-0.31,12
-0.33,13
-0.31,14
-0.25,15
-0.1,16
-0.1,17
-0.27,18
-0.16,19
-0.08,20
-0.16,21
-0.26,22
-0.37,23
-0.46,24
-0.28,25
-0.21,26
-0.38,27
-0.43,28
-0.44,29
-0.4,30
-0.44,31
-0.33,32
-0.32,33
-0.13,34
-0.09,35
-0.32,36
-0.39,37
-0.3,38
-0.24,39
-0.23,40
-0.16,41
-0.24,42
-0.25,43
-0.24,44
-0.18,45
-0.07,46
-0.17,47
-0.18,48
-0.33,49
-0.11,50
-0.06,51
-0.13,52
-0.26,53
-0.11,54
-0.16,55
-0.12,56
-0.01,57
-0.02,58
0.01,59
0.16,60
0.27,61
0.11,62
0.11,63
0.28,64
0.18,65
-0.01,66
-0.04,67
-0.05,68
-0.07,69
-0.15,70
0,71
0.04,72
0.13,73
-0.1,74
-0.13,75
-0.18,76
0.07,77
0.12,78
0.08,79
0.05,80
0.1,81
0.11,82
0.12,83
-0.14,84
-0.07,85
-0.01,86
0,87
-0.03,88
0.11,89
0.06,90
-0.07,91
0.04,92
0.19,93
-0.06,94
0.01,95
-0.07,96
0.21,97
0.12,98
0.23,99
0.28,100
0.32,101
0.19,102
0.36,103
0.16,104
0.15,105
0.23,106
0.38,107
0.39,108
0.29,109
0.45,110
0.39,111
0.23,112
0.28,113
0.34,114
0.47,115
0.32,116
0.51,117
0.65,118
0.44,119
0.42,120
0.57,121
0.62,122
0.64,123
0.58,124
0.66,125
0.63,126
0.62,127
0.54,128
0.64,129
0.72,130
0.57,131
0.63,132
0.67,133
0.74,134
0.93,135
0.99,136
0.91,137
0.82,138
0.95,139
